FileName,NB_whistle_mean_time,nbVolume
LC_ARU5_20240625_062500.wav,1687.46,-5.04
LC_ARU5_20240625_062500.wav,1701.02,-5.63
LC_ARU5_20240629_062500.wav,42.56,-4.05
LC_ARU5_20240629_062500.wav,93.27,-4.56
LC_ARU5_20240629_062500.wav,99.03,-4.42
LC_ARU5_20240629_062500.wav,120.21,-4.18
LC_ARU5_20240629_062500.wav,432.29,-4.9
LC_ARU5_20240629_062500.wav,443.06,-4.9
LC_ARU5_20240629_062500.wav,600.58,-5.32
LC_ARU5_20240629_062500.wav,667.64,-4.94
LC_ARU5_20240629_062500.wav,685.66,-5.14
LC_ARU5_20240629_062500.wav,689.75,-5.18
LC_ARU5_20240629_062500.wav,815.88,-5.28
LC_ARU5_20240629_062500.wav,851.92,-5.25
LC_ARU5_20240629_062500.wav,1010,-5.3
LC_ARU5_20240629_062500.wav,1703.44,-5.35
LC_ARU5_20240629_062500.wav,1776.44,-5.44
LC_ARU5_20240703_062500.wav,10.98,-2.64
LC_ARU5_20240703_062500.wav,34.76,-2.53
LC_ARU5_20240703_062500.wav,44.23,-4.4
LC_ARU5_20240703_062500.wav,52.22,-2.66
LC_ARU5_20240703_062500.wav,64.48,-2.67
LC_ARU5_20240703_062500.wav,71.54,-3.41
LC_ARU5_20240703_062500.wav,77.3,-2.75
LC_ARU5_20240703_062500.wav,90.12,-4.62
LC_ARU5_20240703_062500.wav,96.25,-2.61
LC_ARU5_20240703_062500.wav,111.11,-2.71
LC_ARU5_20240703_062500.wav,118.91,-3.29
LC_ARU5_20240703_062500.wav,141.57,-3.44
LC_ARU5_20240703_062500.wav,152.72,-2.67
LC_ARU5_20240703_062500.wav,168.88,-2.69
LC_ARU5_20240703_062500.wav,173.89,-3.34
LC_ARU5_20240703_062500.wav,184.67,-2.83
LC_ARU5_20240703_062500.wav,193.03,-3.42
LC_ARU5_20240703_062500.wav,200.27,-2.69
LC_ARU5_20240703_062500.wav,210.86,-2.73
LC_ARU5_20240703_062500.wav,223.86,-2.64
LC_ARU5_20240703_062500.wav,237.61,-2.71
LC_ARU5_20240703_062500.wav,277.36,-2.63
LC_ARU5_20240703_062500.wav,289.62,-2.69
LC_ARU5_20240703_062500.wav,304.11,-2.69
LC_ARU5_20240703_062500.wav,318.6,-2.72
LC_ARU5_20240703_062500.wav,338.48,-2.59
LC_ARU5_20240703_062500.wav,376.93,-2.68
LC_ARU5_20240703_062500.wav,409.44,-2.74
LC_ARU5_20240703_062500.wav,465.91,-2.84
LC_ARU5_20240703_062500.wav,478.17,-2.7
LC_ARU5_20240703_062500.wav,486.16,-4.51
LC_ARU5_20240703_062500.wav,489.31,-4.34
LC_ARU5_20240703_062500.wav,493.03,-2.74
LC_ARU5_20240703_062500.wav,507.33,-2.6
LC_ARU5_20240703_062500.wav,533.71,-2.91
LC_ARU5_20240703_062500.wav,556.19,-4.28
LC_ARU5_20240703_062500.wav,565.85,-2.69
LC_ARU5_20240703_062500.wav,585.72,-2.71
LC_ARU5_20240703_062500.wav,602.63,-2.73
LC_ARU5_20240703_062500.wav,619.72,-4.64
LC_ARU5_20240703_062500.wav,661.88,-2.76
LC_ARU5_20240703_062500.wav,679.35,-2.81
LC_ARU5_20240703_062500.wav,683.8,-4.59
LC_ARU5_20240703_062500.wav,712.04,-5.15
LC_ARU5_20240703_062500.wav,721.14,-2.77
LC_ARU5_20240703_062500.wav,749.56,-2.61
LC_ARU5_20240703_062500.wav,777.43,-5.1
LC_ARU5_20240703_062500.wav,785.97,-4.51
LC_ARU5_20240703_062500.wav,792.1,-4.74
LC_ARU5_20240703_062500.wav,859.35,-2.82
LC_ARU5_20240703_062500.wav,893.16,-2.7
LC_ARU5_20240703_062500.wav,910.06,-2.76
LC_ARU5_20240703_062500.wav,921.95,-2.78
LC_ARU5_20240703_062500.wav,961.89,-2.76
LC_ARU5_20240703_062500.wav,971.92,-5.15
LC_ARU5_20240703_062500.wav,979.72,-2.77
LC_ARU5_20240703_062500.wav,997,-2.59
LC_ARU5_20240703_062500.wav,1009.07,-2.55
