"File_Name","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time","Detection_Start","Detection_End","Scientific_name","Common_name","Confidence"
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:49:58,2024-07-25,"06:49:58",1498,1501,"Colinus virginianus","Northern Bobwhite",0.8311
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:52:48,2024-07-25,"06:52:48",1668,1671,"Colinus virginianus","Northern Bobwhite",0.8296
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:52:56,2024-07-25,"06:52:56",1676,1679,"Colinus virginianus","Northern Bobwhite",0.8424
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:53:18,2024-07-25,"06:53:18",1698,1701,"Colinus virginianus","Northern Bobwhite",0.8107
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:53:50,2024-07-25,"06:53:50",1730,1733,"Colinus virginianus","Northern Bobwhite",0.8045
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:53:56,2024-07-25,"06:53:56",1736,1739,"Colinus virginianus","Northern Bobwhite",0.8032
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:54:42,2024-07-25,"06:54:42",1782,1785,"Colinus virginianus","Northern Bobwhite",0.8495
"LC_ARU1_20240726_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-26 06:39:30,2024-07-26,"06:39:30",870,873,"Colinus virginianus","Northern Bobwhite",0.8175
"LC_ARU1_20240726_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-26 06:49:22,2024-07-26,"06:49:22",1462,1465,"Colinus virginianus","Northern Bobwhite",0.8288
"LC_ARU1_20240726_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-26 06:49:36,2024-07-26,"06:49:36",1476,1479,"Colinus virginianus","Northern Bobwhite",0.8053
"LC_ARU1_20240726_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-26 06:49:48,2024-07-26,"06:49:48",1488,1491,"Colinus virginianus","Northern Bobwhite",0.8263
"LC_ARU1_20240726_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-26 06:50:00,2024-07-26,"06:50:00",1500,1503,"Colinus virginianus","Northern Bobwhite",0.8552
"LC_ARU1_20240726_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-26 06:50:02,2024-07-26,"06:50:02",1502,1505,"Colinus virginianus","Northern Bobwhite",0.8085
